timestamp,window_id,slug,status,llm_side,llm_confidence,llm_strength,llm_reason,llm_risk,key_drivers,result_winner,result_correct,current_atr,secs_to_start,spot_price,spot_velocity_usd_per_sec,spot_smoothed_velocity_usd_per_sec,spot_acceleration_usd_per_sec2,up_bid,up_ask,down_bid,down_ask
1780562399318,6,btc-updown-5m-1780562100,result,DOWN,0.6500,medium,Negative smoothed velocity and negative acceleration indicate persistent downward momentum leading into the window open.,A sudden mean-reversion bounce near the window open could invalidate the short-term downward momentum.,Smoothed velocity of -1.65 USD/sec shows established downward trend | Negative acceleration of -0.09 USD/sec2 suggests the downward move is still sustaining momentum | Raw velocity remains negative at -0.29 USD/sec,UP,false,102.1000,0,63480.5066,0.000497,-0.083811,-0.011643,0.9900,1.0000,0.0100,0.0200
1780562582251,8,btc-updown-5m-1780562700,ok,DOWN,0.6500,medium,"Strong negative velocity and smoothed velocity indicate downward momentum leading into the window, despite minor positive acceleration.",Positive acceleration indicates the downward move may be losing steam or preparing to reverse near the open.,Negative raw velocity of -1.72 USD/sec | Smoothed velocity confirms downward trend at -1.58 USD/sec | High 1m ATR of 97.50 suggests sufficient volatility to sustain the move,,,97.5000,120,63422.7270,-1.723212,-1.575692,0.230778,0.5100,0.5200,0.4900,0.5000
1780562699318,7,btc-updown-5m-1780562400,result,DOWN,0.5500,weak,"Negative raw and smoothed velocities indicate short-term downward momentum, despite positive acceleration suggesting a potential deceleration of the drop.",Positive acceleration could lead to a trend reversal or bounce before the window lock time.,Negative smoothed velocity of -0.46 USD/sec | Short-term downward trend leading into the window open | Positive acceleration of 0.26 USD/sec2 indicates the downward move is losing some steam,DOWN,true,108.1143,0,63344.6287,-0.316240,-0.101373,0.107905,0.0100,0.0200,0.9900,1.0000
1780562882452,9,btc-updown-5m-1780563000,ok,UP,0.6500,medium,Positive raw and smoothed velocity combined with positive acceleration indicates strong upward momentum leading into the window open.,High 1m ATR of 89.05 indicates elevated volatility which could easily trigger a sharp reversal before the PTB is locked.,Positive smoothed velocity of 2.16 USD/sec | Positive acceleration of 0.72 USD/sec2 | Upward price trend established in the minutes preceding the window,,,89.0500,120,63416.8147,1.888979,2.155758,0.724437,0.5000,0.5100,0.5000,0.5100
1780562999319,8,btc-updown-5m-1780562700,result,DOWN,0.6500,medium,"Strong negative velocity and smoothed velocity indicate downward momentum leading into the window, despite minor positive acceleration.",Positive acceleration indicates the downward move may be losing steam or preparing to reverse near the open.,Negative raw velocity of -1.72 USD/sec | Smoothed velocity confirms downward trend at -1.58 USD/sec | High 1m ATR of 97.50 suggests sufficient volatility to sustain the move,UP,false,89.4143,0,63429.3055,1.787754,2.200753,0.459808,0.9900,1.0000,0.0100,0.0100
1780563182215,10,btc-updown-5m-1780563300,ok,UP,0.5500,weak,"Positive raw and smoothed velocity indicate upward momentum leading into the window, despite recent deceleration.",Negative acceleration could lead to a trend reversal or flat behavior right at the window open.,Positive raw velocity of 0.94 USD/sec | Positive smoothed velocity of 0.37 USD/sec | Negative acceleration of -0.30 USD/sec² suggesting the upward move is slowing down,,,93.5500,120,63528.4350,0.939497,0.373940,-0.298792,0.5000,0.5100,0.5000,0.5100
1780563299320,9,btc-updown-5m-1780563000,result,UP,0.6500,medium,Positive raw and smoothed velocity combined with positive acceleration indicates strong upward momentum leading into the window open.,High 1m ATR of 89.05 indicates elevated volatility which could easily trigger a sharp reversal before the PTB is locked.,Positive smoothed velocity of 2.16 USD/sec | Positive acceleration of 0.72 USD/sec2 | Upward price trend established in the minutes preceding the window,UP,true,94.5071,0,63533.1927,-0.214609,-0.257212,0.022409,0.9900,1.0000,0.0100,0.0200
1780563485683,11,btc-updown-5m-1780563600,ok,UP,0.6500,medium,"Positive raw and smoothed velocity indicate upward momentum leading into the window, despite minor deceleration.",The slight negative acceleration could lead to a trend reversal or flat action near the window open.,Positive smoothed velocity of 0.71 USD/sec | Raw velocity remains positive at 0.80 USD/sec | Slight negative acceleration suggests momentum is plateauing but still upward,,,87.0857,120,63566.8795,0.795078,0.706497,-0.061534,0.5000,0.5100,0.5000,0.5100
1780563599320,10,btc-updown-5m-1780563300,result,UP,0.5500,weak,"Positive raw and smoothed velocity indicate upward momentum leading into the window, despite recent deceleration.",Negative acceleration could lead to a trend reversal or flat behavior right at the window open.,Positive raw velocity of 0.94 USD/sec | Positive smoothed velocity of 0.37 USD/sec | Negative acceleration of -0.30 USD/sec² suggesting the upward move is slowing down,UP,true,85.1357,0,63549.1183,-0.535236,-0.438369,0.210328,0.9900,1.0000,0.0100,0.0100
1780563782473,12,btc-updown-5m-1780563900,ok,DOWN,0.6500,medium,Negative smoothed velocity and negative acceleration indicate strong downward momentum leading into the window open.,Short-term mean reversion or sudden liquidity spikes could reverse the downward trend before the PTB is set.,Negative smoothed velocity of -0.81 USD/sec | Negative acceleration of -0.23 USD/sec² | Consistent downside pressure in the 2 minutes prior to window open,,,82.3857,120,63428.0695,-0.589148,-0.813200,-0.232923,0.5100,0.5200,0.4900,0.5000
1780563899320,11,btc-updown-5m-1780563600,result,UP,0.6500,medium,"Positive raw and smoothed velocity indicate upward momentum leading into the window, despite minor deceleration.",The slight negative acceleration could lead to a trend reversal or flat action near the window open.,Positive smoothed velocity of 0.71 USD/sec | Raw velocity remains positive at 0.80 USD/sec | Slight negative acceleration suggests momentum is plateauing but still upward,DOWN,false,82.6571,0,63353.6518,0.836622,0.293063,-0.136621,0.0100,0.0100,0.9900,1.0000
1780564082164,13,btc-updown-5m-1780564200,ok,DOWN,0.6500,medium,Strong negative smoothed velocity indicates downward momentum leading into the window open.,A sudden trend reversal or squeeze could occur if the positive acceleration gains momentum.,Negative smoothed velocity of -3.50 USD/sec | Raw velocity remains negative at -2.24 USD/sec | Minor positive acceleration is insufficient to reverse the downward trend before open,,,73.5286,120,63212.7065,-2.239999,-3.496839,0.135471,0.5100,0.5200,0.4900,0.5000
1780564199321,12,btc-updown-5m-1780563900,result,DOWN,0.6500,medium,Negative smoothed velocity and negative acceleration indicate strong downward momentum leading into the window open.,Short-term mean reversion or sudden liquidity spikes could reverse the downward trend before the PTB is set.,Negative smoothed velocity of -0.81 USD/sec | Negative acceleration of -0.23 USD/sec² | Consistent downside pressure in the 2 minutes prior to window open,DOWN,true,82.4357,0,63318.8201,1.840064,1.588902,-0.205102,0.0010,0.0010,0.9990,1.0090
1780564383302,14,btc-updown-5m-1780564500,ok,DOWN,0.6000,medium,"Strong negative velocity dominates the short-term trend, despite positive acceleration indicating a slowing of the downward move.",A rapid trend reversal could occur before the window opens if the positive acceleration triggers a strong bounce.,Negative raw velocity of -2.87 USD/sec | Smoothed velocity remains firmly negative at -2.42 USD/sec | Positive acceleration of 2.01 USD/sec² suggests the downward momentum is decelerating but not yet reversed,,,89.6714,120,63168.4096,-2.869617,-2.421439,2.006312,0.5100,0.5200,0.4900,0.5000
1780564499321,13,btc-updown-5m-1780564200,result,DOWN,0.6500,medium,Strong negative smoothed velocity indicates downward momentum leading into the window open.,A sudden trend reversal or squeeze could occur if the positive acceleration gains momentum.,Negative smoothed velocity of -3.50 USD/sec | Raw velocity remains negative at -2.24 USD/sec | Minor positive acceleration is insufficient to reverse the downward trend before open,DOWN,true,98.7357,0,63270.5054,-0.675178,-1.333128,0.019950,0.0100,0.0100,0.9900,1.0000
1780564683262,15,btc-updown-5m-1780564800,ok,UP,0.6500,medium,Positive smoothed velocity and positive acceleration indicate underlying upward momentum despite a minor short-term raw pullback.,The negative raw velocity indicates immediate short-term selling pressure that could delay the upward move.,Positive smoothed velocity of 1.03 USD/sec | Positive acceleration of 0.14 USD/sec2 supporting upward continuation | Upward contract pricing (up_ask at 0.52) reflecting slight market bias,,,102.1571,120,63157.6205,-0.588297,1.025011,0.136291,0.5100,0.5200,0.4900,0.5000
1780564799322,14,btc-updown-5m-1780564500,result,DOWN,0.6000,medium,"Strong negative velocity dominates the short-term trend, despite positive acceleration indicating a slowing of the downward move.",A rapid trend reversal could occur before the window opens if the positive acceleration triggers a strong bounce.,Negative raw velocity of -2.87 USD/sec | Smoothed velocity remains firmly negative at -2.42 USD/sec | Positive acceleration of 2.01 USD/sec² suggests the downward momentum is decelerating but not yet reversed,DOWN,true,109.6643,0,63058.6520,0.502018,0.332442,-0.222216,0.0100,0.0200,0.9900,1.0000
1780564982752,16,btc-updown-5m-1780565100,ok,DOWN,0.6500,medium,"Strong negative velocity indicates downward momentum leading into the window, despite minor positive acceleration.","A sudden trend reversal or squeeze near the 63,000 psychological level could invalidate the downward signal.",Negative smoothed velocity of -1.32 USD/sec | Consistent downward price pressure in the minutes preceding the open | Slight positive acceleration is not yet strong enough to reverse the trend,,,107.1714,120,62999.2944,-1.312791,-1.318078,0.127884,0.5100,0.5200,0.4900,0.5000
1780565099324,15,btc-updown-5m-1780564800,result,UP,0.6500,medium,Positive smoothed velocity and positive acceleration indicate underlying upward momentum despite a minor short-term raw pullback.,The negative raw velocity indicates immediate short-term selling pressure that could delay the upward move.,Positive smoothed velocity of 1.03 USD/sec | Positive acceleration of 0.14 USD/sec2 supporting upward continuation | Upward contract pricing (up_ask at 0.52) reflecting slight market bias,DOWN,false,110.4643,0,62953.9921,0.413553,0.528163,0.703320,0.0100,0.0200,0.9900,1.0000
1780565282556,17,btc-updown-5m-1780565400,trailing characters at line 13 column 1,,0.0000,,,,,,,94.2500,120,62883.9308,4.367108,3.927612,0.197588,0.5100,0.5200,0.4900,0.5000
1780565399325,16,btc-updown-5m-1780565100,result,DOWN,0.6500,medium,"Strong negative velocity indicates downward momentum leading into the window, despite minor positive acceleration.","A sudden trend reversal or squeeze near the 63,000 psychological level could invalidate the downward signal.",Negative smoothed velocity of -1.32 USD/sec | Consistent downward price pressure in the minutes preceding the open | Slight positive acceleration is not yet strong enough to reverse the trend,DOWN,true,109.5214,0,62791.2906,0.062607,-0.220619,-0.434737,0.0100,0.0100,0.9900,1.0000
1780565582001,18,btc-updown-5m-1780565700,ok,UP,0.6500,medium,"Positive raw and smoothed velocity indicate upward price momentum leading into the window open, despite minor deceleration.",Slight negative acceleration suggests the upward momentum could be slowing down before the window starts.,Positive raw velocity of 3.48 USD/sec | Smoothed velocity remains positive at 1.33 USD/sec | UP contract is slightly favored by the market at 0.53 ask,,,114.4071,120,62799.6735,3.476237,1.333516,-0.292113,0.5200,0.5300,0.4800,0.4900
1780565882215,19,btc-updown-5m-1780566000,ok,UP,0.6500,medium,"Positive raw and smoothed velocity indicate upward momentum leading into the window open, despite minor negative acceleration.",Slight negative acceleration suggests the upward momentum could be slowing down before the start.,Positive raw velocity of 3.39 USD/sec | Smoothed velocity remains positive at 2.34 USD/sec | Price is trending upward in the minutes preceding the window,,,127.0786,120,62870.3292,3.385316,2.336409,-0.276226,0.5100,0.5200,0.4900,0.5000
1780565999324,18,btc-updown-5m-1780565700,result,UP,0.6500,medium,"Positive raw and smoothed velocity indicate upward price momentum leading into the window open, despite minor deceleration.",Slight negative acceleration suggests the upward momentum could be slowing down before the window starts.,Positive raw velocity of 3.48 USD/sec | Smoothed velocity remains positive at 1.33 USD/sec | UP contract is slightly favored by the market at 0.53 ask,DOWN,false,136.9714,0,62794.7932,0.250194,0.664913,-0.030306,0.0100,0.0100,0.9900,1.0000
1780566182143,20,btc-updown-5m-1780566300,ok,UP,0.6500,medium,Positive smoothed velocity and positive acceleration suggest upward momentum leading into the window despite a minor short-term raw dip.,A negative raw velocity indicates short-term volatility that could delay the upward move past the window open.,Smoothed velocity is positive at 0.49 USD/sec | Acceleration is positive at 0.035 USD/sec2 | Upward momentum is building over the medium-term micro-horizon,,,130.0071,120,62840.8660,-0.195304,0.492842,0.034828,0.5100,0.5200,0.4900,0.5000
1780566299325,19,btc-updown-5m-1780566000,result,UP,0.6500,medium,"Positive raw and smoothed velocity indicate upward momentum leading into the window open, despite minor negative acceleration.",Slight negative acceleration suggests the upward momentum could be slowing down before the start.,Positive raw velocity of 3.39 USD/sec | Smoothed velocity remains positive at 2.34 USD/sec | Price is trending upward in the minutes preceding the window,UP,true,122.5429,0,62825.7330,0.231213,0.715437,0.422533,0.9900,1.0000,0.0100,0.0200
1780566482821,21,btc-updown-5m-1780566600,ok,DOWN,0.6500,medium,Negative smoothed velocity and negative acceleration indicate downward momentum leading into the window open.,"Raw velocity is slightly positive, suggesting potential short-term volatility or a minor pullback before the open.",Negative smoothed velocity of -0.65 USD/sec | Negative acceleration of -0.87 USD/sec^2 | Short-term bearish momentum over the last few minutes,,,128.3286,120,62948.5223,0.085914,-0.645181,-0.868981,0.5000,0.5100,0.5000,0.5100
